"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"periodical","J541","","","","","","","","","","","","","","","","","","","MIS Quarterly","MIS Q.","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017459","Detmar  Straub","","","","Editor's Comments: A Midterm MIS Quarterly Progress Report","iii--xii","","","","","MIS Q.","June 2010","34","2","","June","2010","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025482","","","","","","","","","","","MIS Q.","June 1979","3","2","","June","1979","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017678","","","","","","","","","","","MIS Q.","June 1985","9","2","","June","1985","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017378","","","","","","","","","","","MIS Q.","March 2008","32","1","","March","2008","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017578","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","March 1982","6","1","","March","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017082","","","","","","","","","","","MIS Q.","Decenber 1991","15","4","","December","1991","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","259042","","Robert  Zmud","","","","","","","","","MIS Q.","March 1997","21","1","","March","1997","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","51767","","F. Warren McFarlan","","","","","","","","","MIS Q.","March 1988","12","1","","March","1988","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","203598","","Blake  Ives","","","","","","","","","MIS Q.","Dec. 1994","18","4","","December","1994","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2600518","","Paulo B. Goes","","","","","","","","","MIS Q.","March 2014","38","1","","March","2014","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177682","","Arun  Rai","","","","","","","","","MIS Q.","June 2017","41","2","","June","2017","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017435","Detmar W. Straub","","","","Editor's Comments","iii--vii","","","","","MIS Q.","December 2009","33","4","","December","2009","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017535","Gary W. Dickson","","","","Editorial Preview","iii--iii","","","","","MIS Q.","September 1980","4","3","","September","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","3177605","Arun  Rai","","","","Editor's Comments: The MIS Quarterly Trifecta: Impact, Range, Speed","iii--x","","","","","MIS Q.","March 2016","40","1","","March","2016","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017522","Richard L. Nolan and James C. Wetherbe","","","","Toward a Comprehensive Framework for MIS Research","1--19","","19","MIS frameworks, MIS literature, MIS research, management information systems","10.2307/249333","MIS Q.","June 1980","4","2","","June","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017145","","","","","","","","","","","MIS Q.","September 2001","25","3","","September","2001","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017245","","","","","","","","","","","MIS Q.","March 2005","29","1","","March","2005","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017388","","","","","","","","","","","MIS Q.","September 2008","32","3","","September","2008","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025475","Gary W. Dickson","","","","Editorial Preview","iii--iii","","","","","MIS Q.","March 1979","3","1","","March","1979","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025488","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","September 1979","3","3","","September","1979","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017562","Gary W. Dickson","","","","Editorial Preview","iii--iii","","","","","MIS Q.","September 1981","5","3","","September","1981","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017092","","","","","","","","","","","MIS Q.","March 1993","17","1","","March","1993","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017592","","","","","","","","","","","MIS Q.","September 1982","6","3","","September","1982","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017458","","","","","","","","","","","MIS Q.","June 2010","34","2","","June","2010","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017032","","","","","","","","","","","MIS Q.","March 1986","10","1","","March","1986","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017345","","","","","","","","","","","MIS Q.","June 2007","31","2","","June","2007","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025402","","","","","","","","","","","MIS Q.","June 1977","1","2","","June","1977","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2535658","","","","","","","","","","","MIS Q.","June 2013","37","2","","June","2013","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
