"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Foreword","R. B. Bunt","University of Saskatchewan","IEEE Transactions on Software Engineering","","1987","SE-13","3","362","362","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1987.233167","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1702222","","Queueing analysis;Fault tolerant systems;FDDI;Token networks;Protocols","","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Operations and implementation of complex objects","W. Kim; H. -. Chou; J. Banerjee","Microelectron. & Comput. Technol. Corp., Austin, TX, USA; Microelectron. & Comput. Technol. Corp., Austin, TX, USA; Microelectron. & Comput. Technol. Corp., Austin, TX, USA","IEEE Transactions on Software Engineering","","1988","14","7","985","996","A model of a complex object is presented and a set of meaningful operations, both basic and advanced, on a single complex object and on a configuration of complex objects is defined. A set of requirements is presented for storage subsystems that support complex objects. Implementation of complex objects and operations on a single complex object are described, and a detailed performance analysis is provided which establishes the merit of complex objects. Finally, storage techniques are proposed for supporting advanced operations on a configuration of complex objects.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.42739","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=42739","","Computer aided manufacturing;CADCAM;Artificial intelligence;Performance analysis;Spatial databases;Multimedia databases;Multimedia systems;Database systems;Microelectronics;Information systems","data structures;query languages;relational databases;storage management","relational databases;data structures;query languages;storage management;complex objects;storage subsystems;performance analysis","","23","","16","","","","","","IEEE","IEEE Journals & Magazines"
"Empirical Software Engineering","D. R. Jeffery; L. G. Votta","CAESAR; NA","IEEE Transactions on Software Engineering","","1999","25","4","435","437","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1999.799935","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=799935","","Software engineering;Biological system modeling;Humans;Biology;Biological information theory;Moon;Process design;Laboratories;In vitro;In vivo","","","","3","","","","","","","","IEEE","IEEE Journals & Magazines"
"Incremental design of a power transformer station controller using a controller synthesis methodology","H. Marchand; M. Samaan","IRISA/INRIA, Rennes, France; NA","IEEE Transactions on Software Engineering","","2000","26","8","729","741","The authors describe the incremental specification of a power transformer station controller using a controller synthesis methodology. They specify the main requirements as simple properties, named control objectives, that the controlled plant has to satisfy. Then, using algebraic techniques, the controller is automatically derived from this set of control objectives. In our case, the plant is specified at a high level, using the data-flow synchronous SIGNAL language, and then by its logical abstraction, called polynomial dynamical system. The control objectives are specified as invariance, reachability, ...properties, as well as partial order relations to be checked by the plant. The control objectives equations are synthesized using algebraic transformations.","0098-5589;1939-3520;2326-3881","","10.1109/32.879811","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=879811","","Power transformers;Automatic control;Signal synthesis;Polynomials;Optimal control;Equations;Control system synthesis;Data structures;Boolean functions;Circuit faults","power transformers;power system control;parallel languages;control system synthesis","incremental design;power transformer station controller;controller synthesis methodology;incremental specification;simple properties;named control objectives;controlled plant;algebraic techniques;control objectives;high level specification;data-flow synchronous SIGNAL language;logical abstraction;polynomial dynamical system;invariance;reachability;partial order relations;control objectives equations;algebraic transformations","","20","","20","","","","","","IEEE","IEEE Journals & Magazines"
"Absolute bounds on set intersection and union sizes from distribution information","N. C. Rowe","Dept. of Comput. Sci., US Naval Postgraduate Sch., Monterey, CA, USA","IEEE Transactions on Software Engineering","","1988","14","7","1033","1048","A catalog of quick closed-form bounds on set intersection and union sizes is presented; they can be expressed as rules, and managed by a rule-based system architecture. These methods use a variety of statistics precomputed on the data, and exploit homomorphisms (onto mappings) of the data items onto distributions that can be more easily analyzed. The methods can be used anytime, but tend to work best when there are strong or complex correlations in the data. This circumstance is poorly handled by the standard independence-assumption and distributional-assumption estimates.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.42743","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=42743","","Information retrieval;Distributed computing;Frequency estimation;Algorithm design and analysis;Transaction databases;Knowledge based systems;Computer architecture;Statistical analysis;Statistical distributions;Algebra","Boolean algebra;database theory;file organisation;set theory;statistical analysis","Boolean algebra;file organisation;database access;set theory;statistical analysis;set intersection;union sizes;distribution information;closed-form bounds;rule-based system architecture","","6","","18","","","","","","IEEE","IEEE Journals & Magazines"
"Empirical data modeling in software engineering using radial basis functions","Miyoung Shin; A. L. Goel","Electron. & Telecommun. Res. Inst., Taejon, South Korea; NA","IEEE Transactions on Software Engineering","","2000","26","6","567","576","Many empirical studies in software engineering involve relationships between various process and product characteristics derived via linear regression analysis. We propose an alternative modeling approach using radial basis functions (RBFs) which provide a flexible way to generalize linear regression function. Further, RBF models possess strong mathematical properties of universal and best approximation. We present an objective modeling methodology for determining model parameters using our recent SG algorithm, followed by a model selection procedure based on generalization ability. Finally, we describe a detailed RBF modeling study for software effort estimation using a well-known NASA dataset.","0098-5589;1939-3520;2326-3881","","10.1109/32.852743","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=852743","","Software engineering;Linear regression;Data analysis;Mathematical model;NASA;Programming;Signal processing algorithms;Predictive models;Inspection;Computer aided software engineering","software development management;data models;radial basis function networks;statistical analysis","empirical data modeling;software engineering;radial basis functions;product characteristics;linear regression analysis;alternative modeling approach;linear regression function;RBF models;mathematical properties;best approximation;objective modeling methodology;model parameters;SG algorithm;model selection procedure;generalization ability;RBF modeling study;software effort estimation;NASA dataset","","66","","18","","","","","","IEEE","IEEE Journals & Magazines"
"Correcton to ""SOFL"": A formal engineering methodology for industrial applicatoins","S. Liu; A. J. Offutt; C. Ho-Stuart","NA; NA; NA","IEEE Transactions on Software Engineering","","1998","24","5","390","390","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1998.685261","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=685261","","Biographies;Software engineering;Computer science;Software safety;Typesetting;Educational institutions;Fellows;Programming;Software testing;Computer Society","","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A quantitative model of the security intrusion process based on attacker behavior","E. Jonsson; T. Olovsson","Dept. of Comput. Eng., Chalmers Univ. of Technol., Goteborg, Sweden; NA","IEEE Transactions on Software Engineering","","1997","23","4","235","245","The paper is based on a conceptual framework in which security can be split into two generic types of characteristics, behavioral and preventive. Here, preventive security denotes the system's ability to protect itself from external attacks. One way to describe the preventive security of a system is in terms of its interaction with the alleged attacker, i.e., by describing the intrusion process. To our knowledge, very little is done to model this process in quantitative terms. Therefore, based on empirical data collected from intrusion experiments, we have worked out a hypothesis on typical attacker behavior. The hypothesis suggests that the attacking process can be split into three phases: the learning phase, the standard attack phase, and the innovative attack phase. The probability for successful attacks during the learning and innovative phases is expected to be small, although for different reasons. During the standard attack phase it is expected to be considerably higher. The collected data indicates that the breaches during the standard attack phase are statistically equivalent and that the times between breaches are exponentially distributed. This would actually imply that traditional methods for reliability modeling could be applicable.","0098-5589;1939-3520;2326-3881","","10.1109/32.588541","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=588541","","Data security;Protection;Probability;Particle measurements;Control system synthesis;Testing","computer crime;social aspects of automation;authorisation;message authentication","quantitative model;security intrusion process;attacker behavior;conceptual framework;preventive security;external attacks;alleged attacker;quantitative terms;empirical data;intrusion experiments;attacking process;learning phase;standard attack phase;innovative attack phase;reliability modeling;computer security;operational security","","140","","19","","","","","","IEEE","IEEE Journals & Magazines"
"A Static Analysis of the NAG Library","M. A. Hennell; J. A. Prudom","Department of Computational Science, University of Liverpool; NA","IEEE Transactions on Software Engineering","","1980","SE-6","4","329","333","This paper reports results obtained from a static analysis of the NAG Mark 4 Fortran numerical algorithms library.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1980.230484","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1702740","Basic block;compiler;efficiency;Fortrn;LCSAJ optimization","Software libraries;Algorithm design and analysis;Optimizing compilers;Logic testing;ANSI standards;Error correction;Frequency;Automatic control;Application software;Software testing","","Basic block;compiler;efficiency;Fortrn;LCSAJ optimization","","","","11","","","","","","IEEE","IEEE Journals & Magazines"
"Analyzing error-prone system structure","R. W. Selby; V. R. Basili","Dept. of Inf. & Comput. Sci., California Univ., Irvine, CA, USA; NA","IEEE Transactions on Software Engineering","","1991","17","2","141","152","Using measures of data interaction called data bindings, the authors quantify ratios of coupling and strength in software systems and use the ratios to identify error-prone system structures. A 148000 source line system from a prediction environment was selected for empirical analysis. Software error data were collected from high-level system design through system testing and from field operation of the system. The authors use a set of five tools to calculate the data bindings automatically and use a clustering technique to determine a hierarchical description of each of the system's 77 subsystems. A nonparametric analysis of variance model is used to characterize subsystems and individual routines that had either many or few errors or high or low error correction effort. The empirical results support the effectiveness of the data bindings clustering approach for localizing error-prone system structure.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.67595","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=67595","","Error analysis;Software measurement;Software systems;Data analysis;Computer errors;Software testing;System testing;Error correction;Inspection;Computer science","error analysis;program diagnostics;software metrics","error-prone system structure;data interaction;data bindings;software systems;prediction environment;empirical analysis;clustering technique;nonparametric analysis of variance model","","80","","23","","","","","","IEEE","IEEE Journals & Magazines"
