"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Measuring the Impact of Code Dependencies on Software Architecture Recovery Techniques","T. Lutellier; D. Chollak; J. Garcia; L. Tan; D. Rayside; N. Medvidović; R. Kroeger","University of Waterloo, Waterloo, ON, Canada; University of Waterloo, Waterloo, ON, Canada; University of California, Irvine, CA; University of Waterloo, Waterloo, ON, Canada; University of Waterloo, Waterloo, ON, Canada; University of Southern California, Los Angeles, CA; Google Inc., Mountain View, CA","IEEE Transactions on Software Engineering","","2018","44","2","159","181","Many techniques have been proposed to automatically recover software architectures from software implementations. A thorough comparison among the recovery techniques is needed to understand their effectiveness and applicability. This study improves on previous studies in two ways. First, we study the impact of leveraging accurate symbol dependencies on the accuracy of architecture recovery techniques. In addition, we evaluate other factors of the input dependencies such as the level of granularity and the dynamic-bindings graph construction. Second, we recovered the architecture of a large system, Chromium, that was not available previously. Obtaining the ground-truth architecture of Chromium involved two years of collaboration with its developers. As part of this work, we developed a new submodule-based technique to recover preliminary versions of ground-truth architectures. The results of our evaluation of nine architecture recovery techniques and their variants suggest that (1) using accurate symbol dependencies has a major influence on recovery quality, and (2) more accurate recovery techniques are needed. Our results show that some of the studied architecture recovery techniques scale to very large systems, whereas others do not.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2017.2671865","Natural Sciences and Engineering Research Council of Canada; Google Faculty Research Award; Ontario Ministry of Research and Innovation; U.S. National Science Foundation; Infosys Technologies, Ltd.; ","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=7859416","Software architecture;empirical software engineering;maintenance and evolution;program comprehension","Computer architecture;Software architecture;Software;Heuristic algorithms;Chromium;Software algorithms;Manuals","software architecture;software quality;system recovery","symbol dependencies;accurate recovery techniques;recovery quality;submodule-based technique;ground-truth architecture;input dependencies;software implementations;software architectures;software architecture recovery techniques;code dependencies","","3","","72","","","","","","IEEE","IEEE Journals & Magazines"
"Foreword","R. B. Bunt","University of Saskatchewan","IEEE Transactions on Software Engineering","","1987","SE-13","3","362","362","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1987.233167","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1702222","","Queueing analysis;Fault tolerant systems;FDDI;Token networks;Protocols","","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Operations and implementation of complex objects","W. Kim; H. -. Chou; J. Banerjee","Microelectron. & Comput. Technol. Corp., Austin, TX, USA; Microelectron. & Comput. Technol. Corp., Austin, TX, USA; Microelectron. & Comput. Technol. Corp., Austin, TX, USA","IEEE Transactions on Software Engineering","","1988","14","7","985","996","A model of a complex object is presented and a set of meaningful operations, both basic and advanced, on a single complex object and on a configuration of complex objects is defined. A set of requirements is presented for storage subsystems that support complex objects. Implementation of complex objects and operations on a single complex object are described, and a detailed performance analysis is provided which establishes the merit of complex objects. Finally, storage techniques are proposed for supporting advanced operations on a configuration of complex objects.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.42739","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=42739","","Computer aided manufacturing;CADCAM;Artificial intelligence;Performance analysis;Spatial databases;Multimedia databases;Multimedia systems;Database systems;Microelectronics;Information systems","data structures;query languages;relational databases;storage management","relational databases;data structures;query languages;storage management;complex objects;storage subsystems;performance analysis","","23","","16","","","","","","IEEE","IEEE Journals & Magazines"
"Coverage Prediction for Accelerating Compiler Testing","J. Chen; G. Wang; D. Hao; Y. Xiong; H. Zhang; L. Zhang; B. XIE","EECS, Peking University, Beijing, Beijing China (e-mail: chenjunjie@pku.edu.cn); EECS, Peking University, 12465 Beijing, Beijing China (e-mail: amocywang@gmail.com); EECS,Peking University, Institute of Software, Beijing, Beijing China 100871 (e-mail: haodan@pku.edu.cn); EECS, Peking University, Beijing, Beijing China 100871 (e-mail: xiongyf@pku.edu.cn); School of Electrical Engineering and Computing, The University of Newcastle, Newcastle, New South Wales Australia (e-mail: hongyu.zhang@newcastle.edu.au); EECS,Peking University, Institute of Software, Beijing, Beijing China (e-mail: zhanglucs@pku.edu.cn); Software Engineering Institute, Peking University, Beijing, Beijing China (e-mail: xiebing@pku.edu.cn)","IEEE Transactions on Software Engineering","","2018","PP","99","1","1","Compilers are one of the most fundamental software systems. Compiler testing is important for assuring the quality of compilers. Due to the crucial role of compilers, they have to be well tested. Therefore, automated compiler testing techniques (those based on randomly generated programs) tend to run a large number of test programs (which are test inputs of compilers). The cost for compilation and execution for these test programs is significant. These techniques can take a long period of testing time to detect a relatively small number of compiler bugs. That may cause many practical problems, e.g., bringing a lot of costs including time costs and financial costs, and delaying the development/release cycle. Recently, some approaches have been proposed to accelerate compiler testing by executing test programs that are more likely to trigger compiler bugs earlier according to some criteria. However, these approaches ignore an important aspect in compiler testing: different test programs may have similar test capabilities (i.e., testing similar functionalities of a compiler, even detecting the same compiler bug), which may largely discount their acceleration effectiveness if the test programs with similar test capabilities are executed all the time. Test coverage is a proper approximation to help distinguish them, but collecting coverage dynamically is infeasible in compiler testing since most test programs are generated on the fly by automatic test-generation tools like Csmith. In this paper, we propose the first method to predict test coverage statically for compilers, and then propose to prioritize test programs by clustering them according to the predicted coverage information. The novel approach to accelerating compiler testing through coverage prediction is called COP (short for COverage Prediction). Our evaluation on GCC and LLVM demonstrates that COP significantly accelerates compiler testing, achieving an average of 51.01% speedup in test execution time on the existing constructed dataset and achieving an average of 68.74% speedup on the new dataset including 12 latest release versions of GCC and LLVM. Moreover, COP outperforms the state-of-the-art acceleration approach significantly by improving 17.16%~82.51% speedups in different settings on average.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2018.2889771","National Key Research and Development Program; National Natural Science Foundation of China; ","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=8588375","Compiler Testing;Test Prioritization;Machine Learning","Testing;Program processors;Computer bugs;Life estimation;Acceleration;Optimization;Electromagnetic interference","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Empirical Software Engineering","D. R. Jeffery; L. G. Votta","CAESAR; NA","IEEE Transactions on Software Engineering","","1999","25","4","435","437","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1999.799935","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=799935","","Software engineering;Biological system modeling;Humans;Biology;Biological information theory;Moon;Process design;Laboratories;In vitro;In vivo","","","","3","","","","","","","","IEEE","IEEE Journals & Magazines"
"Incremental design of a power transformer station controller using a controller synthesis methodology","H. Marchand; M. Samaan","IRISA/INRIA, Rennes, France; NA","IEEE Transactions on Software Engineering","","2000","26","8","729","741","The authors describe the incremental specification of a power transformer station controller using a controller synthesis methodology. They specify the main requirements as simple properties, named control objectives, that the controlled plant has to satisfy. Then, using algebraic techniques, the controller is automatically derived from this set of control objectives. In our case, the plant is specified at a high level, using the data-flow synchronous SIGNAL language, and then by its logical abstraction, called polynomial dynamical system. The control objectives are specified as invariance, reachability, ...properties, as well as partial order relations to be checked by the plant. The control objectives equations are synthesized using algebraic transformations.","0098-5589;1939-3520;2326-3881","","10.1109/32.879811","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=879811","","Power transformers;Automatic control;Signal synthesis;Polynomials;Optimal control;Equations;Control system synthesis;Data structures;Boolean functions;Circuit faults","power transformers;power system control;parallel languages;control system synthesis","incremental design;power transformer station controller;controller synthesis methodology;incremental specification;simple properties;named control objectives;controlled plant;algebraic techniques;control objectives;high level specification;data-flow synchronous SIGNAL language;logical abstraction;polynomial dynamical system;invariance;reachability;partial order relations;control objectives equations;algebraic transformations","","20","","20","","","","","","IEEE","IEEE Journals & Magazines"
"Absolute bounds on set intersection and union sizes from distribution information","N. C. Rowe","Dept. of Comput. Sci., US Naval Postgraduate Sch., Monterey, CA, USA","IEEE Transactions on Software Engineering","","1988","14","7","1033","1048","A catalog of quick closed-form bounds on set intersection and union sizes is presented; they can be expressed as rules, and managed by a rule-based system architecture. These methods use a variety of statistics precomputed on the data, and exploit homomorphisms (onto mappings) of the data items onto distributions that can be more easily analyzed. The methods can be used anytime, but tend to work best when there are strong or complex correlations in the data. This circumstance is poorly handled by the standard independence-assumption and distributional-assumption estimates.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.42743","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=42743","","Information retrieval;Distributed computing;Frequency estimation;Algorithm design and analysis;Transaction databases;Knowledge based systems;Computer architecture;Statistical analysis;Statistical distributions;Algebra","Boolean algebra;database theory;file organisation;set theory;statistical analysis","Boolean algebra;file organisation;database access;set theory;statistical analysis;set intersection;union sizes;distribution information;closed-form bounds;rule-based system architecture","","6","","18","","","","","","IEEE","IEEE Journals & Magazines"
"Empirical data modeling in software engineering using radial basis functions","Miyoung Shin; A. L. Goel","Electron. & Telecommun. Res. Inst., Taejon, South Korea; NA","IEEE Transactions on Software Engineering","","2000","26","6","567","576","Many empirical studies in software engineering involve relationships between various process and product characteristics derived via linear regression analysis. We propose an alternative modeling approach using radial basis functions (RBFs) which provide a flexible way to generalize linear regression function. Further, RBF models possess strong mathematical properties of universal and best approximation. We present an objective modeling methodology for determining model parameters using our recent SG algorithm, followed by a model selection procedure based on generalization ability. Finally, we describe a detailed RBF modeling study for software effort estimation using a well-known NASA dataset.","0098-5589;1939-3520;2326-3881","","10.1109/32.852743","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=852743","","Software engineering;Linear regression;Data analysis;Mathematical model;NASA;Programming;Signal processing algorithms;Predictive models;Inspection;Computer aided software engineering","software development management;data models;radial basis function networks;statistical analysis","empirical data modeling;software engineering;radial basis functions;product characteristics;linear regression analysis;alternative modeling approach;linear regression function;RBF models;mathematical properties;best approximation;objective modeling methodology;model parameters;SG algorithm;model selection procedure;generalization ability;RBF modeling study;software effort estimation;NASA dataset","","66","","18","","","","","","IEEE","IEEE Journals & Magazines"
"Correcton to ""SOFL"": A formal engineering methodology for industrial applicatoins","S. Liu; A. J. Offutt; C. Ho-Stuart","NA; NA; NA","IEEE Transactions on Software Engineering","","1998","24","5","390","390","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1998.685261","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=685261","","Biographies;Software engineering;Computer science;Software safety;Typesetting;Educational institutions;Fellows;Programming;Software testing;Computer Society","","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A quantitative model of the security intrusion process based on attacker behavior","E. Jonsson; T. Olovsson","Dept. of Comput. Eng., Chalmers Univ. of Technol., Goteborg, Sweden; NA","IEEE Transactions on Software Engineering","","1997","23","4","235","245","The paper is based on a conceptual framework in which security can be split into two generic types of characteristics, behavioral and preventive. Here, preventive security denotes the system's ability to protect itself from external attacks. One way to describe the preventive security of a system is in terms of its interaction with the alleged attacker, i.e., by describing the intrusion process. To our knowledge, very little is done to model this process in quantitative terms. Therefore, based on empirical data collected from intrusion experiments, we have worked out a hypothesis on typical attacker behavior. The hypothesis suggests that the attacking process can be split into three phases: the learning phase, the standard attack phase, and the innovative attack phase. The probability for successful attacks during the learning and innovative phases is expected to be small, although for different reasons. During the standard attack phase it is expected to be considerably higher. The collected data indicates that the breaches during the standard attack phase are statistically equivalent and that the times between breaches are exponentially distributed. This would actually imply that traditional methods for reliability modeling could be applicable.","0098-5589;1939-3520;2326-3881","","10.1109/32.588541","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=588541","","Data security;Protection;Probability;Particle measurements;Control system synthesis;Testing","computer crime;social aspects of automation;authorisation;message authentication","quantitative model;security intrusion process;attacker behavior;conceptual framework;preventive security;external attacks;alleged attacker;quantitative terms;empirical data;intrusion experiments;attacking process;learning phase;standard attack phase;innovative attack phase;reliability modeling;computer security;operational security","","140","","19","","","","","","IEEE","IEEE Journals & Magazines"
